saint-francis-pa
Opponent,Location,gameid
george-mason,-1,804
virginia-commonwealth,1,805
saint-josephs,-1,806
richmond,1,807
george-washington,1,808
saint-louis,-1,809
st-bonaventure,-1,810
rhode-island,1,811
massachusetts,-1,812
fordham,-1,813
saint-josephs,1,814
dayton,1,815
rhode-island,-1,816
la-salle,-1,817
fordham,1,818
st-bonaventure,1,819
richmond,-1,820

delaware-state
Opponent,Location,gameid
east-carolina,-1,821
grand-canyon,-1,822
loyola-md,-1,823
longwood,-1,824
washington-state,-1,825
pennsylvania,1,826
st-bonaventure,-1,827
jacksonville-state,1,828
delaware,-1,829
weber-state,-1,830
ball-state,-1,831
norfolk-state,-1,832
coppin-state,1,833
north-carolina-at,1,834
north-carolina-central,1,835
bethune-cookman,-1,836
florida-am,-1,837
howard,-1,838
savannah-state,1,839
south-carolina-state,1,840
north-carolina-at,-1,841
north-carolina-central,-1,842
maryland-eastern-shore,1,843
coppin-state,-1,844
morgan-state,1,845
norfolk-state,1,846
maryland-eastern-shore,-1,847

east-carolina
Opponent,Location,gameid
delaware-state,1,848
james-madison,1,849
lamar,1,850
georgia-tech,-1,851
texas-pan-american,1,852
prairie-view,1,853
high-point,1,854
north-carolina-wilmington,-1,855
appalachian-state,0,856
maryland-eastern-shore,1,857
charlotte,-1,858
north-carolina-at,1,859
southern-methodist,-1,860
cincinnati,1,861
memphis,-1,862
central-florida,-1,863
temple,1,864
houston,-1,865
south-florida,1,866
tulane,1,867
connecticut,-1,868
wichita-state,1,869
south-florida,-1,870
memphis,1,871
tulsa,1,872
tulane,-1,873
houston,1,874
tulsa,-1,875
wichita-state,-1,876
connecticut,1,877

pennsylvania
Opponent,Location,gameid
george-mason,-1,878
rice,1,879
lafayette,1,880
northern-iowa,0,881
kansas-state,0,882
oregon-state,0,883
delaware-state,-1,884
miami-fl,1,885
la-salle,-1,886
villanova,1,887
new-mexico,-1,888
toledo,-1,889
monmouth,1,890
princeton,-1,891
princeton,1,892
temple,-1,893
saint-josephs,1,894
cornell,-1,895
columbia,-1,896
brown,-1,897
yale,-1,898
dartmouth,1,899
harvard,1,900
columbia,1,901
cornell,1,902
harvard,-1,903
dartmouth,-1,904
yale,1,905
brown,1,906

george-mason
Opponent,Location,gameid
pennsylvania,1,907
american,1,908
georgia-southern,-1,909
southern,1,910
north-carolina-central,1,911
cincinnati,0,912
baylor,0,913
morgan-state,1,914
william-mary,-1,915
vermont,1,916
james-madison,1,917
navy,1,918
kansas-state,-1,919
saint-josephs,-1,920
st-bonaventure,1,921
davidson,1,922
rhode-island,-1,923
massachusetts,-1,924
fordham,1,925
dayton,-1,926
george-washington,1,927
virginia-commonwealth,-1,928
richmond,-1,929
la-salle,1,930
massachusetts,1,931
st-bonaventure,-1,932
duquesne,1,933
richmond,1,934
saint-louis,-1,935
virginia-commonwealth,1,936
george-washington,-1,937

stony-brook
Opponent,Location,gameid
george-washington,-1,938
south-carolina,-1,939
holy-cross,0,940
norfolk-state,0,941
rhode-island,-1,942
norfolk-state,-1,943
quinnipiac,1,944
manhattan,-1,945
brown,-1,946
long-island-university,1,947
delaware,1,948
hofstra,1,949
quinnipiac,-1,950
northern-iowa,-1,951
massachusetts-lowell,-1,952
binghamton,1,953
new-hampshire,1,954
maine,-1,955
albany-ny,-1,956
vermont,1,957
maryland-baltimore-county,-1,958
hartford,1,959
binghamton,-1,960
massachusetts-lowell,1,961
new-hampshire,-1,962
albany-ny,1,963
maine,1,964
maryland-baltimore-county,1,965
vermont,-1,966
hartford,-1,967

george-washington
Opponent,Location,gameid
stony-brook,1,968
siena,1,969
virginia,-1,970
michigan,0,971
south-carolina,0,972
manhattan,1,973
vermont,1,974
princeton,-1,975
towson,1,976
valparaiso,1,977
howard,1,978
harvard,-1,979
american,1,980
saint-josephs,-1,981
dayton,1,982
richmond,1,983
la-salle,-1,984
duquesne,1,985
davidson,-1,986
george-mason,-1,987
fordham,1,988
virginia-commonwealth,1,989
richmond,-1,990
saint-louis,1,991
duquesne,-1,992
massachusetts,1,993
virginia-commonwealth,-1,994
rhode-island,-1,995
st-bonaventure,1,996
fordham,-1,997
george-mason,1,998

east-tennessee-state
Opponent,Location,gameid
georgia-state,-1,999
creighton,-1,1000
winthrop,-1,1001
chicago-state,1,1002
sam-houston-state,1,1003
north-dakota-state,1,1004
georgia-southern,-1,1005
wofford,-1,1006
tennessee-martin,1,1007
illinois,-1,1008
wyoming,0,1009
norfolk-state,0,1010
furman,1,1011
samford,1,1012
chattanooga,1,1013
citadel,-1,1014
mercer,-1,1015
virginia-military-institute,1,1016
north-carolina-greensboro,1,1017
western-carolina,-1,1018
samford,-1,1019
chattanooga,-1,1020
wofford,1,1021
furman,-1,1022
citadel,1,1023
mercer,1,1024
virginia-military-institute,-1,1025
north-carolina-greensboro,-1,1026
western-carolina,1,1027

georgia-state
Opponent,Location,gameid
east-tennessee-state,1,1028
montana,-1,1029
mercer,1,1030
st-bonaventure,0,1031
creighton,0,1032
georgia,0,1033
tulane,-1,1034
liberty,-1,1035
alabama,-1,1036
chattanooga,1,1037
kansas-state,-1,1038
north-carolina-wilmington,1,1039
texas-arlington,-1,1040
texas-state,-1,1041
louisiana-lafayette,1,1042
louisiana-monroe,1,1043
south-alabama,-1,1044
troy,-1,1045
texas-state,1,1046
texas-arlington,1,1047
georgia-southern,1,1048
louisiana-monroe,-1,1049
louisiana-lafayette,-1,1050
troy,1,1051
south-alabama,1,1052
appalachian-state,-1,1053
coastal-carolina,-1,1054
arkansas-state,1,1055
arkansas-little-rock,1,1056
georgia-southern,-1,1057

central-connecticut-state
Opponent,Location,gameid
hartford,-1,1058
georgetown,-1,1059
massachusetts-lowell,1,1060
austin-peay,0,1061
florida-am,0,1062
loyola-marymount,-1,1063
north-carolina-at,-1,1064
virginia-tech,-1,1065
providence,-1,1066
maine,-1,1067
oregon-state,-1,1068
wagner,1,1069
sacred-heart,-1,1070
fairleigh-dickinson,-1,1071
mount-st-marys,-1,1072
saint-francis-pa,1,1073
robert-morris,1,1074
bryant,-1,1075
long-island-university,1,1076
st-francis-ny,1,1077
bryant,1,1078
saint-francis-pa,-1,1079
robert-morris,-1,1080
wagner,-1,1081
st-francis-ny,-1,1082
mount-st-marys,1,1083
sacred-heart,1,1084
long-island-university,-1,1085
fairleigh-dickinson,1,1086

hartford
Opponent,Location,gameid
central-connecticut-state,1,1087
utah-state,-1,1088
mississippi-state,-1,1089
quinnipiac,-1,1090
utah-valley,0,1091
iona,0,1092
sacred-heart,-1,1093
bowling-green-state,1,1094
duke,-1,1095
bryant,-1,1096
oakland,1,1097
wagner,-1,1098
marist,1,1099
boston-college,-1,1100
maryland-baltimore-county,1,1101
vermont,-1,1102
maine,-1,1103
massachusetts-lowell,1,1104
new-hampshire,1,1105
albany-ny,-1,1106
binghamton,1,1107
